Lenght Selection Bubble Insertion Quick
10 55 45 19 22
10 55 45 23 25
10 55 45 27 25
10 55 45 28 22
10 55 45 20 29
10 55 45 23 40
10 55 45 21 20
10 55 45 19 20
10 55 45 14 32
10 55 45 13 20
10 55 45 25 22
10 55 45 14 19
10 55 45 25 22
10 55 45 31 30
10 55 45 20 19
20 210 190 96 59
20 210 190 101 76
20 210 190 87 64
20 210 190 85 66
20 210 190 134 63
20 210 190 110 65
20 210 190 84 70
20 210 190 118 67
20 210 190 71 83
20 210 190 102 61
20 210 190 101 77
20 210 190 65 75
20 210 190 107 71
20 210 190 111 62
20 210 190 82 95
30 465 435 265 198
30 465 435 200 129
30 465 435 216 126
30 465 435 243 111
30 465 435 234 114
30 465 435 153 129
30 465 435 226 119
30 465 435 219 110
30 465 435 293 123
30 465 435 238 128
30 465 435 258 117
30 465 435 212 134
30 465 435 230 113
30 465 435 248 115
30 465 435 288 135
40 820 780 408 185
40 820 780 389 164
40 820 780 409 223
40 820 780 317 222
40 820 780 364 216
40 820 780 403 181
40 820 780 432 176
40 820 780 486 217
40 820 780 406 176
40 820 780 422 186
40 820 780 383 166
40 820 780 366 172
40 820 780 346 217
40 820 780 390 182
40 820 780 384 169
50 1275 1225 566 266
50 1275 1225 675 250
50 1275 1225 692 252
50 1275 1225 533 258
50 1275 1225 507 256
50 1275 1225 686 254
50 1275 1225 687 275
50 1275 1225 518 323
50 1275 1225 609 283
50 1275 1225 632 238
50 1275 1225 548 276
50 1275 1225 532 269
50 1275 1225 672 273
50 1275 1225 700 222
50 1275 1225 663 257
60 1830 1770 853 322
60 1830 1770 914 331
60 1830 1770 885 312
60 1830 1770 993 370
60 1830 1770 910 302
60 1830 1770 803 322
60 1830 1770 846 307
60 1830 1770 956 355
60 1830 1770 887 306
60 1830 1770 874 349
60 1830 1770 851 347
60 1830 1770 818 341
60 1830 1770 962 286
60 1830 1770 910 376
60 1830 1770 882 381
70 2485 2415 1406 456
70 2485 2415 1061 395
70 2485 2415 1229 415
70 2485 2415 1275 391
70 2485 2415 1152 359
70 2485 2415 976 479
70 2485 2415 1152 446
70 2485 2415 1237 411
70 2485 2415 1206 373
70 2485 2415 1185 461
70 2485 2415 1285 354
70 2485 2415 1191 392
70 2485 2415 1097 432
70 2485 2415 1357 416
70 2485 2415 1216 371
80 3240 3160 1827 480
80 3240 3160 1656 458
80 3240 3160 1922 443
80 3240 3160 1690 481
80 3240 3160 1622 510
80 3240 3160 1445 457
80 3240 3160 1596 499
80 3240 3160 1604 485
80 3240 3160 1232 446
80 3240 3160 1707 415
80 3240 3160 1624 423
80 3240 3160 1443 466
80 3240 3160 1640 502
80 3240 3160 1544 490
80 3240 3160 1656 559
90 4095 4005 2041 666
90 4095 4005 2028 558
90 4095 4005 1828 566
90 4095 4005 1873 551
90 4095 4005 1907 555
90 4095 4005 2058 544
90 4095 4005 2182 616
90 4095 4005 1740 613
90 4095 4005 1814 700
90 4095 4005 1855 679
90 4095 4005 2050 573
90 4095 4005 2194 673
90 4095 4005 1840 544
90 4095 4005 2032 546
90 4095 4005 1998 636
100 5050 4950 2564 560
100 5050 4950 2376 631
100 5050 4950 2650 696
100 5050 4950 2870 727
100 5050 4950 2554 705
100 5050 4950 2465 639
100 5050 4950 2786 660
100 5050 4950 2476 611
100 5050 4950 2624 640
100 5050 4950 2367 633
100 5050 4950 2696 650
100 5050 4950 2587 603
100 5050 4950 2362 775
100 5050 4950 2583 617
100 5050 4950 2463 650
110 6105 5995 2896 788
110 6105 5995 3083 671
110 6105 5995 3349 904
110 6105 5995 3155 791
110 6105 5995 3074 625
110 6105 5995 2658 664
110 6105 5995 3112 746
110 6105 5995 2961 893
110 6105 5995 2896 721
110 6105 5995 3057 801
110 6105 5995 3397 685
110 6105 5995 3334 802
110 6105 5995 2963 606
110 6105 5995 3014 747
110 6105 5995 3146 685
120 7260 7140 3529 785
120 7260 7140 3474 945
