Lenght Selection Bubble Insertion Quick
10 55 45 23 26
10 55 45 13 21
10 55 45 17 21
10 55 45 21 29
10 55 45 26 21
10 55 45 30 19
10 55 45 19 22
10 55 45 21 20
10 55 45 27 33
10 55 45 32 27
10 55 45 35 22
10 55 45 19 19
10 55 45 30 31
10 55 45 28 23
10 55 45 17 24
110 6105 5995 2938 700
110 6105 5995 2803 788
110 6105 5995 2862 685
110 6105 5995 3019 662
110 6105 5995 3277 744
110 6105 5995 2766 734
110 6105 5995 3253 735
110 6105 5995 3269 811
110 6105 5995 2795 724
110 6105 5995 2763 739
110 6105 5995 3035 770
110 6105 5995 3026 706
110 6105 5995 3050 654
110 6105 5995 3042 790
110 6105 5995 3175 703
210 22155 21945 10614 1623
210 22155 21945 10563 1668
210 22155 21945 10921 1563
210 22155 21945 11432 1857
210 22155 21945 11083 1611
210 22155 21945 11017 1572
210 22155 21945 11527 1824
210 22155 21945 10879 1637
210 22155 21945 11026 1752
210 22155 21945 10389 1851
210 22155 21945 10999 1557
210 22155 21945 11780 1674
210 22155 21945 11249 1531
210 22155 21945 10583 1579
210 22155 21945 9958 1637
310 48205 47895 23894 3140
310 48205 47895 24300 2691
310 48205 47895 24075 2509
310 48205 47895 23299 2877
310 48205 47895 23455 2768
310 48205 47895 23930 2730
310 48205 47895 24708 3236
310 48205 47895 23257 2891
310 48205 47895 23431 2574
310 48205 47895 24065 2764
310 48205 47895 24376 2866
310 48205 47895 24427 2681
310 48205 47895 24267 3007
310 48205 47895 24661 2718
310 48205 47895 24324 2672
410 84255 83845 42175 3817
410 84255 83845 42022 3552
410 84255 83845 40516 3781
410 84255 83845 40554 3722
410 84255 83845 41589 3702
410 84255 83845 41226 3830
410 84255 83845 42764 4282
410 84255 83845 41439 3595
410 84255 83845 42414 3583
410 84255 83845 42098 3979
410 84255 83845 43494 4019
410 84255 83845 41269 3888
410 84255 83845 40745 4019
410 84255 83845 40932 3659
410 84255 83845 39580 4611
510 130305 129795 65110 5335
510 130305 129795 66874 5063
510 130305 129795 67376 4491
510 130305 129795 64245 4811
510 130305 129795 65342 5707
510 130305 129795 66435 5372
510 130305 129795 66549 4715
510 130305 129795 60760 5418
510 130305 129795 65056 4495
510 130305 129795 63383 4691
510 130305 129795 60150 4561
510 130305 129795 67217 5484
510 130305 129795 63017 5367
510 130305 129795 65148 4917
510 130305 129795 64223 4717
610 186355 185745 90909 6047
610 186355 185745 93544 6677
610 186355 185745 91886 6050
610 186355 185745 91664 6276
610 186355 185745 91568 5778
610 186355 185745 93468 5993
610 186355 185745 91903 5998
610 186355 185745 92760 5821
610 186355 185745 93672 5659
610 186355 185745 95631 5421
610 186355 185745 92130 5899
610 186355 185745 93552 5920
610 186355 185745 92336 6125
610 186355 185745 95647 5751
610 186355 185745 95755 6277
710 252405 251695 126700 7409
710 252405 251695 124293 7385
710 252405 251695 123305 7124
710 252405 251695 130267 7279
710 252405 251695 128894 6545
710 252405 251695 127960 7892
710 252405 251695 126158 7922
710 252405 251695 126892 7577
710 252405 251695 123451 6819
710 252405 251695 126157 8355
710 252405 251695 126382 7293
710 252405 251695 123472 6745
710 252405 251695 123011 6945
710 252405 251695 124025 7101
710 252405 251695 124537 7380
810 328455 327645 168826 9796
810 328455 327645 160890 7813
810 328455 327645 161748 9187
810 328455 327645 156578 8003
810 328455 327645 166307 8274
810 328455 327645 159613 7901
810 328455 327645 163075 8441
810 328455 327645 158939 8057
810 328455 327645 163731 8730
810 328455 327645 161848 8936
810 328455 327645 169024 8159
810 328455 327645 162656 8436
810 328455 327645 159673 8647
810 328455 327645 161431 9653
810 328455 327645 161491 8089
910 414505 413595 199445 9547
910 414505 413595 210307 9106
910 414505 413595 207405 9410
910 414505 413595 202352 10353
910 414505 413595 205777 10285
910 414505 413595 212915 9482
910 414505 413595 209089 9953
910 414505 413595 201040 9986
910 414505 413595 208670 9784
910 414505 413595 207219 9706
910 414505 413595 207433 10080
910 414505 413595 207331 9813
910 414505 413595 198479 9797
910 414505 413595 201078 9558
910 414505 413595 210696 9287
